# Copyright (c) 1966-2016 Johns Hopkins University. Use of this file adheres to the terms specified at http://omim.org/help/agreement.
# Generated: 2016-05-26
# See end of file for additional documentation on specific fields
# Sort	Month	Day	Year	Cyto Location	Gene Symbols	Confidence	Gene Name	MIM Number	Mapping Method	Comments	Phenotypes	Mouse Gene Symbol
9.184	1	25	91	9q21.13	ANXA1, LPC1	P	Annexin A1 (lipocortin I)	151690	REa, A			19(Lpc1)
9.185	1	29	01	9q22.32	BARX1	P	BarH-like homeo box gene 1	603260	R			
9.186	10	23	87	9q12	DNCM	P	Cytoplasmic membrane DNA	126330	A	in 9qh		
9.187	10	13	15	9q12	SPATA31A7, AEP1, FAM75A7, C9orf36	P	Spermatogenesis-associated protein 31, subfamily A, member 7	616584	REc			
9.188	7	17	14	9q21.11	TJP2, ZO2, PFIC4	P	Tight junction protein 2	607709	REc, Fd		Hypercholanemia, familial, 607748 (3); Cholestasis, progressive familial intrahepatic 4, 615878 (3)	
9.189	1	13	99	9q21.12	BTEB1, BTEB	P	Basic transcription element-binding protein 1	602902	Psh, A			
9.190	8	21	07	9q21.11	CBWD3	P	Cobalamin synthetase W domain-containing protein 3	611080	REc			
9.191	11	12	96	9q13	CMD1B, CMPD1, FDC	C	Cardiomyopathy, dilated-1B, autosomal dominant	600884	Fd		Cardiomyopathy, dilated 1B (2)	
9.192	8	21	07	9q21.11	FOXD4L3	P	Forkhead box D4-like 3	611086	REc			
9.193	11	30	06	9q21.11	FXN, FRDA, FARR, X25	C	Frataxin	606829	Fd		Friedreich ataxia, 229300 (3); Friedreich ataxia with retained reflexes, 229300 (3)	
9.194	4	10	02	9q21.13	GCNT1	C	Glucosaminyl (N-acetyl) transferase 1, core 2 (beta-1,6-N-acetylglucosaminyltransferase)	600391	A, Psh, R			13(Gcnt1)
9.195	1	12	15	9q21.11	PRKACG, BDPLT19	P	Protein kinase, cAMP-dependent, catalytic, gamma	176893	REa, A	mutation identified in 1 BDPLT19 family	?Bleeding disorder, platelet-type, 19, 616176 (3)	
9.196	9	18	98	9q21.11	PIP5K1B, STM7, MSS4	P	Phosphatidylinositol-4-phosphate 5-kinase, type I, beta	602745	REn, REc			
9.197	2	13	98	9q13-q21	GSM1, GSP	P	Geniospasm 1	190100	Fd		Geniospasm (2)	
9.198	6	16	06	9q21.13	OSTF1, OSF, SH3P2	P	Osteoclast-stimulating factor 1	610180	REc	conflicting assignment to 12q24.1-q24.2 by FISH		
9.199	2	26	02	9q21.13	TMC1, DFNB7, DFNB11, DFNA36	C	Transmembrane channel-like protein 1	606706	Fd, REc		Deafness, autosomal recessive 7, 600974 (3); Deafness, autosomal dominant 36, 606705 (3)	19(Tmc1, dn, Bth)
9.200	4	26	01	9q21.13	TMEM2	P	Transmembrane protein 2	605835	REc			19(Tmem2)
9.201	5	7	03	9q21.12	X123	P	X123 gene	607710	REc			
9.202	1	16	07	9q21.13	ZFAND5, ZNF216	P	Zinc finger AN1 domain-containing protein 5	604761	REc			19(Znf216)
9.203	7	22	13	9q13-q22	CTRCT26, CAAR	P	Cataract 26, multiple types	605749	Fd		Cataract 26, multiple types (2)	
9.204	1	28	88	9q21.13	ALDH1A1	P	Aldehyde dehydrogenase-1 family, member A1, soluble	100640	REa, A			19(Ahd2)
9.205	1	3	00	9q21.2	GNA14	P	Guanine nucleotide-binding protein, alpha-14	604397	A, REc			
9.206	6	11	13	9q21.2	GNAQ, SWS, CMC1	P	Guanine nucleotide-binding protein (G protein), q	600998	REa, A	pseudogene on 2q	Sturge-Weber syndrome, somatic, mosaic, 185300 (3); Capillary malformations, congenital, 1, somatic, mosaic, 163000 (3)	
9.207	9	28	96	9q22.31	IARS	P	Isoleucine-tRNA synthetase	600709	Psh, A			
9.208	10	15	09	9q21	PVOP2	P	Pelvic organ prolapse, susceptibility to, 2	613088	Fd	between rs4077632 and rs10868525	{Pelvic organ prolapse, susceptibility to, 2} (2)	
9.209	2	29	04	9q21.2	VPS13A, CHAC	C	Vacuolar protein sorting 13A (chorein)	605978	Fd, LD		Choreoacanthocytosis, 200150 (3)	
9.210	10	20	92	9q22.33	COL15A1	P	Collagen XV, alpha-1 polypeptide	120325	REa, A			4(Col15a1)
9.211	3	22	93	9q21.33	CTSL	C	Cathepsin L	116880	REa, A, Psh	\'like\' sequence on 10q23-q24		13(Ctsl)
9.212	1	10	12	9q21-q22	ETL4, ETOLM	P	Epilepsy, familial temporal lobe, 4	611631	Fd	between GATA152H04 and D9S253	Epilepsy, familial temporal lobe, 4 (2)	
9.213	1	12	08	9q21.32	FRMD3, EPB41LO	P	FERM domain-containing 3	607619	REc			
9.214	1	29	01	9q21.2	PCA3, DD3	P	Prostate cancer antigen 3	604845	REa			
9.215	9	16	09	9q21.13	RFK	P	Riboflavin kinase	613010	REc			
9.216	11	1	10	9q21.11	DFNA51, C9DUPq21.11, DUP9q21.11	C	Deafness, autosomal dominant 51 (chromosome 9q21.11 duplication syndrome)	613558	Ch	259kb duplication involving TJP2 and FAM189A2	Deafness, autosomal dominant 51 (4)	
9.217	10	2	13	9p24.3	FOXD4, FKHL9	P	Forkhead box D4	601092	A, REc			19(Foxd4)
9.218	7	20	09	9q21.12	MAMDC2	P	MAM domain-containing 2	612879	REc			
9.219	12	28	15	9q21.12	MIR204, MIRN204, RDICC	P	Micro RNA 204	610942	REc	mutation identified in 1 RDICC family	?Retinal dystrophy and iris coloboma with or without cataract, 616722 (3)	
9.220	10	4	05	9q21.12	SMC5L1, SMC5, KIAA0594	P	Structural maintenance of chromosomes 5-like 1	609386	R, REc			
9.221	1	4	16	9q21.11	ZNF658	P	Zinc finger protein 658	616290	REc			
9.222	8	20	98	9q21.12	APBA1, X11, D9S411E, MINT1, LIN10	P	Amyloid beta A4 precursor protein-binding, family A, member 1	602414	RE, REc			
9.223	10	31	08	9q21.12-q21.13	TRPM3, MLSN2, LTRPC3, KIAA1616	P	Transient receptor potential cation channel, subfamily M, member 3	608961	REc			
9.224	9	24	15	9q21.13	CARNMT1, C9orf41, UPF0586	P	Carnosine N-methyltransferase 1	616552	REc			
9.225	9	9	13	9q21.13	GDA, CYPIN	P	Guanine deaminase	139260	REc			
9.226	6	26	00	9q21.32	UBQLN1, DA41	P	Ubiquilin 1 (Da41, rat, homolog of)	605046	A			
9.227	8	20	07	9q21.33	ISCA1, HBLD2, HISCA	P	Iron-sulfur cluster assembly 1, S. cerevisiae, homolog of	611006	REc			
9.228	5	1	97	9q21.13	PCSK5	C	Proprotein convertase subtilisin/kexin type 5	600488	REa, A, REc	?close to LPC1 on 9q		19(Pcsk5)
9.229	2	3	06	9q21.32	TLE1, ESG1	C	Transducin-like enhancer of split 1 (homolog of Drosophila E(spl))	600189	REa, A, REn, R	conflicting assignment to chr.19		
9.230	4	15	09	9q22.31	ASPN, PLAP1, OS3	C	Asporin	608135	REc		{Osteoarthritis susceptibility 3}, 607850 (3); {Lumbar disc degeneration}, 603932 (3)	
9.231	3	13	06	9q21.3-q22	FHL1, HPLH1, HLH1	P	Hemophagocytic lymphohistiocytosis, familial, 1	267700	Fd		Hemophagocytic lymphohistiocytosis, familial, 1 (2)	
9.232	3	18	94	9q21.33	GAS1	C	Growth arrest-specific gene-1	139185	Psh, A			13(Gas1)
9.233	10	2	14	9q21.2	PSAT1, PSAT, EPIP, PSATD, NLS2	P	Phosphoserine aminotransferase 1	610936	REc	mutation identified in 1 PSATD family	?Phosphoserine aminotransferase deficiency, 610992 (3); Neu-Laxova syndrome 2, 616038 (3)	
9.234	3	23	14	9q21.32	C9orf64	P	Chromosome 9 open reading frame 64	611342	REc			
9.235	3	23	14	9q21.32	C9orf103	P	Chromosome 9 open reading frame 103	611343	REc			
9.236	4	2	16	9q21.32	GKAP1, GKAP42	P	G kinase-anchoring protein 1	611356	REc			
9.237	5	26	13	9q21.32	KIF27	C	Kinesin family member 27	611253	REc			
9.238	5	24	13	9q21.32	MIR7-1	P	Micro RNA 7-1	615239	REc			
9.239	2	23	14	9q21.32	RASEF	P	RAS and EF-hand domains-containing protein	611344	REc			
9.240	10	30	08	9q21.32	RMI2, BLAP75, C9orf76	P	RecQ-mediated genome instability 1, S. cerevisiae, homolog of	610404	REc			
9.241	10	13	15	9q21.32	HNRNPK, HNRPK, AUKS	C	Heterogeneous nuclear ribonucleoprotein K	600712	REa, A		Au-Kline syndrome, 616580 (3)	
9.242	4	6	11	9q21.33	AGTPBP1, NNA1, KIAA1035, CCP1	P	ATP/GTP-binging protein 1	606830	REc			
9.243	8	14	14	9q21.33	GOLM1, GOLPH2, GP73, C9orf155	P	Golgi membrane protein 1	606804	REc			
9.244	3	23	15	9q21.33	ZCCHC6, TUT7, KIAA1711	P	Zinc finger CCHC domain-containing protein 6	613467	REc			
9.245	4	30	15	9q22.33	ALG2, CDGII, CMSTA3, CMS14	C	Alg2, S. cerevisiae, homolog of	607905	REc	mutation identified in 1 CDGII patient	?Congenital disorder of glycosylation, type Ii, 607906 (3); Myasthenic syndrome, congenital, 14, with tubular aggregates, 616228 (3)	
9.246	9	2	08	9q31.1	CSMF	C	Chondrosarcoma, extraskeletal myxoid, fused to EWS in	600542	Ch, A	t(9;17)(q22;q11); t(9;22)(q22;q11-q12)	Chondrosarcoma, extraskeletal myxoid, 612237 (3)	
9.247	9	2	15	9q22.33	FOXE1, FKHL15, TITF2, TTF2, NMTC4	C	Forkhead box E1 (thyroid transcription factor-2)	602617	Psh, REc		Bamforth-Lazarus syndrome, 241850 (3); {Thyroid cancer, nonmedullary, 4}, 616534 (3)	4(Titf2)
9.248	10	5	10	9q22.33	GALNT12, CRCS1	P	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 12	610290	REc		{Colorectal cancer, susceptibility to, 1}, 608812 (3)	
9.249	1	23	07	9q22.33	HEMGN, EDAG	P	Hemogen	610715	A			4(Hemgn)
9.250	11	17	94	9q22.32	HSD17B3, EDH17B3	P	Hydroxysteroid (17-beta) dehydrogenase 3	605573	A		Pseudohermaphroditism, male, with gynecomastia, 264300 (3)	
9.251	8	25	04	9q22	JOAG2	P	Glaucoma, primary open angle, juvenile-onset, 2	608695	Fd	between D9S1803 and D9S196	Glaucoma, primary open angle, juvenile-onset, 2 (2)	
9.252	6	9	98	9q22.31	NINJ1	C	Ninjurin	602062	A			13(Ninj1)
9.253	2	2	01	9q22.31	PHF2	C	PHD finger protein-2	604351	REn, REc, R			
9.254	8	14	00	9q22.31	ROR2, BDB1, BDB, NTRKR2	C	Receptor tyrosine kinase-like orphan receptor 2	602337	Fd, R, REc, Ch		Brachydactyly, type B1, 113000 (3); Robinow syndrome, autosomal recessive, 268310 (3)	13(Ror2)
9.255	12	3	98	9q21.13	RORB, RZRB	P	RAR-related orphan receptor B	601972	A			4(Rorb)
9.256	7	3	06	9q22	STQTL8	P	Stature quantitative trait locus 8	610114	Fd	between GATA81C04M and ATA18A07M	{Stature QTL 8} (2)	
9.257	1	7	95	9q22.2	SYK	P	Spleen tyrosine kinase	600085	A			13(Syk)
9.258	4	7	14	9q22.33	TGFBR1, ALK5, AAT5, LDS1, MSSE	C	Transforming growth factor, beta receptor I (activin A receptor type II-like kinase, 53kD)	190181	Psh, A		Loeys-Dietz syndrome 1, 609192 (3); {Multiple self-healing squamous epithelioma, susceptibility to}, 132800 (3)	4(Tgfbr1)
9.259	9	30	02	9q21.13	TRPM6, CHAK2, HOMG1	C	Transient receptor potential cation channel, subfamily M, member 6	607009	REc		Hypomagnesemia 1, intestinal, 602014 (3)	
9.260	4	8	08	9q31.1	ABCA1, ABC1, HDLDT1, TGD	C	ATP-binding cassette 1	600046	A, REc		Tangier disease, 205400 (3); HDL deficiency, type 2, 604091 (3); {Coronary artery disease in familial hypercholesterolemia, protection against}, 143890 (3)	
9.261	12	27	01	9q22.33	TRIM14, KIAA0129	P	Tripartite motif-containing protein 14	606556	REa, R			
9.262	10	15	98	9q31.1	ZNF189	P	Zinc finger protein-189	603132	A			
9.263	4	17	13	9q22.1	CDK20, CCRK, CDCH, P42	P	Cyclin-dependent kinase 20	610076	R, REc			
9.264	5	8	07	9q22.33	GPR51, GABBR2	C	G protein-coupled receptor 51	607340	R, A		{Nicotine dependence, susceptibility to}, 188890 (3); {Nicotine dependence, protection against}, 188890 (3)	
9.265	11	7	14	9q21.33	NTRK2, TRKB	C	Neurotrophic tyrosine kinase, receptor, type 2	600456	REa, A	mutation identified in 1 OBHD patient	?Obesity, hyperphagia, and developmental delay, 613886 (3)	
9.266	7	12	13	9q22.1	NXNL2, RDCVF2	P	Nucleoredoxin-like protein 2	615299	REc, H			13(Nxnl2)
9.267	11	11	14	9q22.1	SHC3, NSHC, RAI, SHCC	P	SHC transforming protein 3	605263	R, REc			
9.268	9	18	08	9q22.1	S1PR3, EDG3	P	Sphingosine-1-phosphate receptor 3	601965	A			
9.269	5	25	00	9q22.2	GADD45G, GRP17	C	Growth arrest- and DNA damage-inducible gene 45, gamma	604949	A, R			
9.270	10	11	00	9q22.31	NFIL3, NFIL3A, E4BP4	P	Nuclear factor, interleukin 3-regulated	605327	REc			
9.271	3	2	06	9q22.1	SPIN, SPIN1	P	Spindlin	609936	REc			
9.272	3	5	01	9q22.31	SPTLC1, LBC1, SPT1, HSN1, HSAN	P	Serine palmitoyltransferase, long-chain base subunit 1	605712	Fd		Neuropathy, hereditary sensory and autonomic, type IA, 162400 (3)	
9.273	3	31	15	9q22.2	CKS2	P	CDC2-associated protein CKS2	116901	A, REc			
9.274	7	12	01	9q22.33	CTSL2, CTSV	C	Cathepsin L2	603308	A			
9.275	3	31	15	9q22.2	DIRAS2	P	DIRAS family, GTP-binding Ras-like protein 2	607863	R, REc			
9.276	11	9	05	9q22.2	SECISBP2, SBP2	C	Selenocysteine insertion sequence-binding protein 2	607693	REc		Thyroid hormone metabolism, abnormal, 609698 (3)	
9.277	3	22	07	9q21.32-q21.33	SLC28A3, CNT3	P	Solute carrier family (sodium-coupled nucleoside transporter), member 3	608269	A, REc			
9.278	11	13	07	9q22.32	FBP1	C	Fructose-bisphosphatase 1	611570	A, Fd, REc		Fructose-1,6-bisphosphatase deficiency, 229700 (3)	
9.279	4	30	09	9q31.1	ALDOB	C	Aldolase B, fructose-bisphosphatase	612724	REb, REa, A, D, REc		Fructose intolerance, 229600 (3)	4(Aldo2)
9.280	5	2	03	9q31.1	BAAT	C	Bile acid coenzyme A:amino acid N-acyltransferase (glycine N-choloyltransferase)	602938	REc, H		Hypercholanemia, familial, 607748 (3)	4(Baat)
9.281	7	12	13	9q22.31	BICD2, KIAA0699, SMALED2	P	Bicaudal D, Drosophila, homolog of, 2	609797	R, REc		Spinal muscular atrophy, lower extremity-predominant, 2, AD, 615290 (3)	
9.282	10	20	99	9q22.33	CORO2A, WDR2, IR10	P	Coronin 2A	602159	REc			
9.283	6	14	99	9q22.31	ECM2	P	Extracellular matrix protein-2	603479	A			
9.284	4	19	11	9q22.32	FANCC, FACC	C	Fanconi anemia, complementation group C	613899	Fd, REc		Fanconi anemia, complementation group C, 227645 (3)	13(Facc)
9.285	5	4	00	9q22.31	OGN, OIF	C	Osteoglycin	602383	R, A			
9.286	3	1	07	9q22.32	PTCH1, NBCCS, BCNS, HPE7	C	Patched, Drosophila, homolog of	601309	R, Fd, D		Basal cell nevus syndrome, 109400 (3); Basal cell carcinoma, somatic, 605462 (3); Holoprosencephaly-7, 610828 (3)	13(Ptc)
9.287	2	3	05	9q22.32	SLC35D2, HFRC1, SQV7L	P	Solute carrier family 35, member D2	609182	REc			
9.288	3	22	06	9q22.33	TBC1D2, PARIS1	P	TBC1 domain family, member 2	609871	REc			
9.289	5	20	99	9q22.33	TMOD	C	Tropomodulin	190930	A, REc			4(Tmod)
9.290	5	26	05	9q22.31	WNK2, PRKWNK2	C	WNK lysine deficient protein kinase 2	606249	R, REc			
9.291	8	30	07	9q22.33	XPA, XPAC	C	XPA complementing gene	611153	S, A, M, REc		Xeroderma pigmentosum, group A, 278700 (3)	4(Xpa)
9.292	1	12	99	9q22.32	ZNF169	C	Zinc finger protein-169	603404	A, REn			
9.293	5	9	97	9q22.33	NCBP1	P	Nuclear cap binding protein 1, 80kD	600469	REa, REc	in 500kb of XPA		4(Ncbp)
9.294	8	9	12	9q22.31	AUH	P	AU-specific RNA-binding protein (3-methylglutaconyl-CoA hydratase)	600529	R, REc		3-methylglutaconic aciduria, type I, 250950 (3)	
9.295	10	08	07	9q22.31	CENPP	P	Centromeric protein P	611505	R, REc			
9.296	9	24	08	9q22.31	FAM120A, C9orf10, KIAA0183	P	Family with sequence similarity 120, member A	612265	REc			
9.297	6	23	15	9q22.31	SUSD3	P	SUSHI domain-containing protein 3	616429	REc			
9.298	4	10	14	9q22.32	ERCC6L2, RAD26L, BMFS2	P	ERCC6-like 2	615667	REc		Bone marrow failure syndrome 2, 615715 (3)	
9.299	3	23	09	9q22.32	MIR189, MIRN24-1	P	Micro RNA 24-1	609705	REc			
9.300	3	23	09	9q22.32	MIR23B, MIRN23B	P	Micro RNA 23B	610723	REc			
9.301	3	23	09	9q22.32	MIR27B, MIRN27B	P	Micro RNA 27B	610636	REc			
9.302	3	23	09	9q22.32	MIRLET7A1, LET7A1, MIRNLET7A1	P	Micro RNA Let7a1	605386	REc			
9.303	3	23	09	9q22.32	MIRLET7D, LET7D, MIRNLET7D	P	Micro RNA Let7d	612145	REc			
9.304	3	23	09	9q22.32	MIRLET7F1, LET7F1, MIRNLET7F1	P	Micro RNA Let7f1	612146	REc			
9.305	8	20	08	9q22.31	NOL8, NOP132	P	Nucleolar protein 8	611534	REc			
9.306	8	19	13	9q22.32	ZNF367, AFF29	C	Zinc finger protein 367	610160	REc			
9.307	3	30	23	9q22.32-q22.33	CDC14B	P	Cell division cycle 14, S. cerevisiae, homolog B	603505	R, REc			
9.308	9	9	13	9q22.33	ANKS6, PKDR1, NPHP16	P	Ankyrin repeat and sterile alpha motif domains-containing protein 6	615370	REc		Nephronophthisis 16, 615382 (3)	
9.309	7	23	13	9q22.33	TDRD7, KIAA1529, TRAP, CATC4, CTRCT36	C	Tudor domain-containing protein 7	611258	REc, R, Ch		Cataract 36, 613887 (3)	
9.310	1	12	07	9q31.3	ACTL7A	C	Actin-like 7A	604303	REa, REn, H			4(Actl7a)
9.311	1	12	07	9q31.3	ACTL7B	C	Actin-like 7B	604304	REc, REn, H			4(Actl7b)
9.312	11	10	10	9q31.2	FKTN, FCMD, CMD1X, LGMD2M, MDDGA4, MDDGB4, MDDGC4	C	Fukutin	607440	Fd, LD		Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 4, 253800 (3); Muscular dystrophy-dystroglycanopathy (congenital without mental retardation), type B, 4, 613152 (3); Cardiomyopathy, dilated, 1X, 611615 (3); Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 4, 611588 (3)	
9.313	3	20	06	9q31.2	FSD1NL, FSD1L, MIR1, CCDC10	P	FSD1 N-terminus-like protein	609829	REc			
9.314	2	2	11	9q31	HSCR5	P	Hirschsprung disease, susceptibility to, 5	600156	LD		{Hirschsprung disease, susceptibility to, 5} (2)	
9.315	4	5	01	9q31.3	IKBKAP, IKAP	C	Inhibitor of kappa light polypeptide gene enhancer in B cells, kinase complex-associated protein	603722	REc, Fd		Dysautonomia, familial, 223900 (3)	
9.316	8	12	03	9q31.1	INVS, INV, NPHP2, NPH2	C	Inversin	243305	REc, A, Fd		Nephronophthisis 2, infantile, 602088 (3)	
9.317	1	29	01	9q31.2	KLF4, EZF, GKLF	P	Kruppel-like factor 4	602253	R			4(Ezf)
9.318	12	20	05	9q31	PAND2	P	Panic disorder 2	607853	Fd	max lod at D9S271	Panic disorder 2 (2)	
9.319	12	19	01	9q34.11	SIAT7D, SIAT3C	C	Sialyltransferase 7D	606378	A, R, REc			
9.320	12	8	04	9q31.1	STX17	P	Syntaxin 17	604204	REc			
9.321	8	28	15	9q31.2	TAL2	P	T-cell acute lymphocytic leukemia-2	186855	REa, A, RE, Ch	33kb from breakpoint in t(7;9)	Leukemia, T-cell acute lymphocytic, somatic, 613065 (3)	4(Tal2)
9.322	6	14	99	9q31.1	TMEFF1, C9ORF2	P	Transmembrane protein with EGF-like and 2 follistatin-like domains 1	603421	A, REa			
9.323	5	9	95	9q31.3	TXN	C	Thioredoxin	187700	A, Psh	incorrectly assigned to 3		4(Txn)
9.324	8	10	98	9q31.3	UGCG, GCS	P	UDP-glucose ceramide glucosyltransferase	602874	A			4(Ugcg)
9.325	4	21	10	9q31.3	EPB41L4B, EHM2	P	Erythrocyte membrane protein band 4.1-like 4B	610340	REc			
9.326	6	29	05	9q31-q32	HNP1	P	Hypertensive nephropathy	608026	Fd		Hypertensive nephropathy (2)	
9.327	11	4	98	9q32	SLC31A1, COPT1, CTR1	P	Solute carrier family 31 (copper transporter), member 1	603085	REn			
9.328	12	13	00	9q32	SLC13A2, COPT2, CTR2	P	Solute carrier family 31 (copper transporter), member 2	603088	REn			
9.329	11	22	04	9q31.3	AKAP2, AKAPKL, KIAA0920, PALM2	P	A-kinase anchor protein 2	604582	R	multiple splice variants		
9.330	8	8	14	9q32	PRPF4, PRP4, HPRP4, RP70	P	Precursor mRNA-processing factor 4, S. cerevisiae, homolog of	607795	A		Retinitis pigmentosa 70, 615922 (3)	
9.331	3	5	98	9q32	RGS3	P	Regulator of G-protein signaling-3	602189	R			
9.332	12	17	07	9q32	SLC46A2, TSCOT	P	Solute carrier family 46, member 2	608956	H, REc			4(Slc46a2)
9.333	1	19	07	9q31-q34	SPDA2	P	Spondyloarthropathy, susceptibility to, 2	183840	Fd	max lod at D9S1776	{Spondyloarthropathy, susceptibility to, 2} (2)	
9.334	10	16	14	9q33.1	TRIM32, HT2A, LGMD2H, BBS11	C	Tripartite-motif-containing protein 32	602290	Fd, REc	mutation identified in 1 BBS11 family	Muscular dystrophy, limb-girdle, type 2H, 254110 (3); ?Bardet-Biedl syndrome 11, 615988 (3)	
9.335	11	30	12	9q31.1	CHDT3	P	Congenital heart defects, multiple types, 3	614954	Fd	max lod at D9S1690	Congenital heart defects, multiple types, 3 (2)	
9.336	3	24	09	9q31.1	CYLC2	P	Cylicin 2	604035	REc			
9.337	3	24	09	9q31.1	GRIN3A, NR3A	P	Glutamate receptor, ionotropic, N-methyl-D-aspartate 3A	606650	REc			
9.338	3	5	08	9q31.1	MRPL50	P	Mitochondrial ribosomal protein L50	611854	REc	pseudogenes on 2, 5, and 10		
9.339	9	16	12	9q31.1	NIPSNAP3A, TASSC	P	NIPSNAP, C. elegans, homolog of, 3A	608871	REc			
9.340	4	15	11	9q31.1	PPP3R2, PPP3RL, CBLP	C	Protein phosphatase 3, regulatory subunit B, beta	613821	R, REc			
9.341	4	21	14	9q31.1	RNF20, BRE1A	P	Ring finger protein 20	607699	REc			
9.342	12	23	15	9q31.1	TEX10	P	Testis-expressed gene 10	616717	REc			
9.343	10	7	13	9q31.1	TXNDC4, KIAA0573	C	Thioredoxin domain-containing protein 4	609170	R, REc			
9.344	1	12	07	9q31.3	CTNNAL1	C	Catenin, alpha-like, 1	604785	R, A, REn			
9.345	7	20	09	9q31.2	MENAQ3	P	Menarche, age at, QTL3	612883	Fd	associated with rs2090409	{Menarche, age at, QTL3} (2)	
9.346	7	18	14	9q31.2	RAD23B	P	RAD23 (Saccharomyces cerevisiae) homolog of, B	600062	A, RE, REc	previously 3p25.1		4(Rad23b)
9.347	4	24	09	9q31.1-q31.2	SLC44A1, CTL1, CDW92	P	Solute carrier family 44, member 1	606105	REc			
9.348	2	8	13	9q31.2	TMEM38B, TRICB, OI14	P	Transmembrane protein 38B	611236	REc		Osteogenesis imperfecta, type XIV, 615066 (3)	
9.349	9	22	08	9q31.2-q34.2	IS4	P	Scoliosis, idiopathic, susceptibility to, 4	612238	Fd	max lod at D9S2157	{Scoliosis, idiopathic, susceptibility to, 4} (2)	
9.350	3	23	14	9q31.3	FRRS1L, C9orf4, CG6	C	Ferric-chelate reductase 1-like	604574	REc, REa			
9.351	5	25	13	9q31.3	GNG10	P	Guanine nucleotide-binding protein, gamma 10	604389	REc			
9.352	12	17	15	9q31.3	KIAA0368, ECM29	P	KIAA0368 gene	616694	R, REc			
9.353	9	18	08	9q31.3	LPAR1, EDG2, LPA1, VZG1	P	Lysophosphatidic acid receptor 1	602282	R, REc			4(vzg1)
9.354	3	23	09	9q31.3	MIR32, MIRN32	P	Micro RNA 32	609355	REc			
9.355	4	10	14	9q31.3	PTGR1, LTB4DH	P	Prostaglandin reductase 1	601274	REc			
9.356	8	8	13	9q31.3	PTPN3, PTPH1	P	Protein-tyrosine phosphatase, nonreceptor-type, 3	176877	A, REc			
9.357	8	4	15	9q31.3	MUSK, CMS9, FADS	C	Receptor tyrosine kinase MuSK	601296	A		Myasthenic syndrome, congenital, 9, associated with acetylcholine receptor deficiency, 616325 (3); Fetal akinesia deformation sequence, 208150 (3)	4(Musk)
9.358	3	4	10	9q32	C9orf80, SOSSC	P	Sensor of single-stranded DNA complex, subunit C	613273	REc			
9.359	3	30	12	9q32	CDC26, APC12	P	Cell division cycle 26, S. cerevisiae, homolog of	614533	REc	pseudogene on 7q32.1		
9.360	8	12	14	9q32	COL27A1, KIAA1870, STLS	P	Collagen, type XXVII, alpha-1	608461	REc	mutation identified in 1 STLS family	?Steel syndrome, 615155 (3)	4(Col27a1)
9.361	4	17	00	9q33.1	DEC1	P	Deleted in esophageal cancer 1	604767	D		Esophageal squamous cell carcinoma, 133239 (1)	
9.362	4	30	09	9q32	IBD16	P	Inflammatory bowel disease 16, susceptibility to	612259	Fd		{Inflammatory bowel disease 16} (2)	
9.363	8	19	13	9q32	KIF12	P	Kinesin family member 12	611278	REc			
9.364	1	2	08	9q31.3	SVEP1, POLYDOM, SELOB	C	Sushi, von willebrand factor type A, EGF, and pentraxin domain-containing 1	611691	A, H, REc			4(Svep1)
9.365	9	26	08	9q32	TNFSF15, TL1, VEGI	C	Tumor necrosis factor ligand superfamily, member 15 (vascular endothelial growth inhibitor)	604052	R, A			
9.366	8	10	98	9q32	ZFP37	P	Zinc finger protein-37, mouse, homolog of	602951	REa, A	?candidate for Nager syndrome		4(Zfp37)
9.367	1	6	93	9q32	AMBP, ITIL, ITI, HCP	C	Alpha-1-microglobulin/bikunin precursor (inter-alpha-trypsin inhibitor, light chain; protein HC)	176870	REa, A, H			4(Intin4)
9.368	5	5	16	9q32-q33	ARMD10	C	Macular degeneration, age-related, 10	611488	Fd		Macular degeneration, age-related, 10 (2)	
9.369	10	6	09	9q32-q33	EIG3	P	Epilepsy, idiopathic generalized, susceptibility to 3	608762	Fd		{Epilepsy, idiopathic generalized, susceptibility to, 3} (2)	
9.370	5	5	16	9q33.1	TLR4	C	Toll-like receptor-4	603030	A			
9.371	12	24	08	9q33.2	MEGF9, EGFL5	P	Multiple epidermal growth factor-like domains 9	604268	R			
9.372	1	7	95	9q33.2	PTGS1, COX1, PGHS1, COX3, PCOX1	P	Prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)	176805	REa, A			
9.373	10	11	07	9q32	WHRN, CIP98, KIAA1526, DFNB31, USH2D	C	Whirlin	607928	Fd, REc		Deafness, autosomal recessive 31, 607084 (3); Usher syndrome, type 2D, 611383 (3)	4(Whrn)
9.374	1	8	01	9q33.2	MRFF, RRF	P	Ribosome-recycling factor, mitochondrial	604602	R			
9.375	3	29	10	9q33	ASRT8	P	Asthma-related traits, susceptibility to, 8	613207	Fd	associated with rs3789873	{Asthma-related traits, susceptibility to, 8} (2)	
9.376	1	30	01	9q33.2	CEP1, CEP110, FAN	P	Centrosomal protein 1	605496	R			2(Cep1)
9.377	5	5	10	9q33.2	DAB2IP, AIP1, KIAA1743	P	DAB2-interacting protein	609205	REc			
